Entity/Individual,US,UK,EU,Switzerland,Canada,Australia,Sectors for Entities as a filter
YO'N CHO'NG NAM,❌,❌,❌,✅,❌,❌,O
YU CHOL U,✅,❌,❌,❌,❌,❌,O
YUK TUNG ENERGY PTE LTD,✅,❌,❌,❌,❌,❌,O
YUN HO-JIN,✅,❌,❌,❌,❌,❌,O
ADF,❌,❌,❌,✅,❌,❌,O
BAUDOIN NGARUYE WA MYAMURO,✅,❌,❌,❌,❌,❌,O
BOSCO TAGANDA,❌,❌,❌,❌,✅,✅,O
BUTEMBO AIRLINES (BAL),❌,❌,❌,✅,❌,❌,O
CALLIXTE MBARUSHIMANA,❌,❌,❌,✅,❌,❌,O
COMPAGNIE AERIENNE DES GRANDS LACS (CAGL),✅,❌,❌,❌,❌,❌,O
CONGOMET TRADING HOUSE,✅,❌,❌,❌,❌,❌,O
DIEUDONNÉ OZIA MAZIO,✅,❌,❌,❌,❌,❌,O
ERIC BADEGE,✅,❌,❌,❌,❌,❌,O
FELICIEN NSANZUBUKIRE,✅,❌,❌,❌,❌,❌,O
FLORIBERT NGABU NJABU,❌,❌,❌,✅,❌,❌,O
FORCES DEMOCRATIQUES DE LIBERATION DU RWANDA (FDLR),❌,❌,❌,✅,❌,❌,O
FRANK KAKOLELE BWAMBALE,❌,❌,✅,❌,❌,❌,O
GASTON IYAMUREMYE,❌,❌,❌,❌,✅,❌,O
GERMAIN KATANGA,✅,❌,❌,❌,❌,❌,O
GUIDON SHIMIRAY MWISSA,✅,❌,❌,❌,❌,❌,O
GÉDÉON KYUNGU MUTANGA WA BAFUNKWA KANONGA,✅,❌,❌,❌,❌,❌,O
IGNACE MURWANASHYAKA,✅,❌,❌,❌,❌,❌,O
INNOCENT KAINA,✅,❌,❌,❌,❌,❌,O
INNOCENT ZIMURINDA,❌,❌,❌,❌,✅,❌,O
IRUTA DOUGLAS MPAMO,❌,❌,❌,❌,❌,✅,O
JAMES NYAKUNI,✅,✅,❌,❌,✅,✅,O
JAMIL MUKULU,✅,❌,❌,❌,❌,❌,O
JEAN-MARIE LUGERERO RUNIGA,✅,❌,❌,❌,❌,❌,O
JULES MUTEBUTSI,❌,❌,✅,✅,❌,❌,O
JÉRÔME KAKWAVU BUKANDE,✅,❌,❌,❌,❌,❌,O
KHAWA PANGA MANDRO,❌,✅,❌,❌,✅,✅,O
LAURENT NKUNDA,❌,✅,✅,✅,❌,❌,O
LEODOMIR MUGARAGU,❌,❌,❌,✅,❌,❌,O
LEOPOLD MUJYAMBERE,❌,❌,❌,✅,❌,❌,O
LUCIEN NZAMBAMWITA,❌,❌,✅,✅,❌,❌,O
M23,✅,❌,❌,❌,❌,❌,O
MACHANGA LTD,✅,❌,❌,❌,❌,❌,O
"MATHIEU, CHUI NGUDJOLO",❌,✅,✅,✅,✅,✅,O
MUHINDO AKILI MUNDOS,✅,❌,❌,❌,❌,❌,O
NTABO NTABERI SHEKA,✅,❌,❌,❌,❌,❌,O
PACIFIQUE NTAWUNGUKA,✅,❌,❌,❌,❌,❌,O
SEKA BALUKU,✅,❌,❌,❌,❌,❌,O
STANISLAS NZEYIMANA,✅,❌,❌,❌,❌,❌,O
STRATON MUSONI,✅,❌,❌,❌,❌,❌,O
SULTANI MAKENGA,✅,❌,❌,❌,❌,❌,O
SYLVESTRE MUDACUMURA,✅,❌,❌,❌,❌,❌,O
THOMAS LUBANGA,✅,❌,❌,❌,❌,❌,O
TOUS POUR LA PAIX ET LE DEVELOPPEMENT (NGO),❌,✅,❌,✅,✅,❌,O
UGANDA COMMERCIAL IMPEX (UCI) LTD,✅,❌,❌,❌,❌,❌,O
ANTÓNIO INJAI,✅,❌,❌,❌,❌,❌,O
CRANHA DANFA,✅,❌,❌,❌,❌,❌,O
DABA NAUALNA,✅,❌,❌,❌,❌,❌,O
ESTÊVÃO NA MENA,✅,❌,❌,❌,❌,❌,O
IBRAIMA CAMARÁ,✅,❌,❌,❌,❌,❌,O
IDRISSA DJALÓ,❌,❌,❌,✅,❌,❌,O
JÚLIO NHATE,❌,✅,✅,✅,✅,✅,O
MAMADU TURE,✅,❌,❌,❌,❌,❌,O
TCHAM NA MAN,✅,❌,❌,❌,❌,❌,O
TCHIPA NA BIDON,✅,❌,❌,❌,❌,❌,O
7TH OF TIR,❌,✅,❌,❌,❌,✅,O
ABZAR BORESH KAVEH CO. (BK CO.),✅,❌,❌,❌,❌,❌,O
AHMAD DERAKHSHANDEH,✅,❌,❌,❌,❌,❌,O
AHMAD VAHID DASTJERDI,❌,✅,❌,❌,❌,❌,O
ALI AKBAR AHMADIAN,✅,❌,❌,❌,❌,❌,O
ALI AKBAR TABATABAEI,❌,❌,✅,❌,❌,❌,O
AMIN INDUSTRIAL COMPLEX,❌,❌,✅,❌,❌,❌,O
AMMUNITION AND METALLURGY INDUSTRIES GROUP (AMIG),✅,❌,❌,❌,✅,❌,O
ARMAMENT INDUSTRIES GROUP (AIG),✅,❌,❌,❌,✅,❌,O
AZIM AGHAJANI,✅,❌,❌,❌,❌,❌,O
BAHMANYAR MORTEZA BAHMANYAR,✅,❌,❌,❌,❌,❌,O
BARZAGANI TEJARAT TAVANMAD SACCAL COMPANIES,✅,❌,❌,❌,❌,❌,O
BEHINEH TRADING CO.,✅,❌,❌,❌,✅,❌,O
CRUISE MISSILE INDUSTRY GROUP,❌,❌,❌,✅,❌,❌,O
DEFENCE INDUSTRIES ORGANISATION (DIO),✅,❌,❌,❌,❌,❌,O
DEFENSE TECHNOLOGY AND SCIENCE RESEARCH CENTER (DTSRC),❌,❌,❌,✅,❌,❌,O
DOOSTAN INTERNATIONAL COMPANY (DICO),✅,❌,❌,❌,❌,❌,O
ELECTRO SANAM COMPANY,❌,❌,❌,✅,❌,❌,O
ETTEHAD TECHNICAL GROUP,❌,❌,❌,✅,❌,❌,O
FAJR INDUSTRIAL GROUP,✅,❌,❌,❌,❌,❌,O
FARASAKHT INDUSTRIES,✅,❌,❌,❌,❌,❌,O
FARAYAND TECHNIQUE,❌,✅,✅,✅,❌,❌,O
FATER INSTITUTE,❌,✅,❌,✅,❌,❌,O
FEREIDOUN ABBASI-DAVANI,❌,✅,❌,❌,❌,❌,O
GHARAGAHE SAZANDEGI GHAEM,❌,❌,❌,✅,❌,❌,O
GHORB KARBALA,❌,✅,❌,❌,❌,❌,O
GHORB NOOH,✅,❌,❌,❌,❌,❌,O
HARA COMPANY,✅,❌,❌,❌,❌,❌,O
HOSEIN SALIMI,✅,✅,❌,❌,✅,✅,O
IMENSAZAN CONSULTANT ENGINEERS INSTITUTE,❌,❌,❌,✅,❌,❌,O
INDUSTRIAL FACTORIES OF PRECISION (IFP) MACHINERY,❌,❌,✅,❌,✅,❌,O
JOZA INDUSTRIAL CO.,❌,✅,❌,✅,✅,❌,O
KALA-ELECTRIC,✅,❌,❌,❌,✅,✅,O
KAVEH CUTTING TOOLS COMPANY,✅,❌,❌,❌,✅,❌,O
KHATAM AL-ANBIYA CONSTRUCTION HEADQUARTERS (KAA),✅,❌,❌,❌,✅,❌,O
KHORASAN METALLURGY INDUSTRIES,✅,❌,❌,❌,✅,❌,O
M. BABAIE INDUSTRIES,✅,❌,❌,❌,✅,❌,O
MAKIN,✅,❌,❌,❌,❌,❌,O
MALEK ASHTAR UNIVERSITY,✅,❌,❌,❌,❌,❌,O
MEHRDADA AKHLAGHI KETABACHI,✅,❌,❌,❌,❌,❌,O
MINISTRY OF DEFENSE LOGISTICS EXPORT,✅,❌,❌,❌,❌,❌,O
MIZAN MACHINERY MANUFACTURING,❌,❌,❌,✅,✅,❌,O
MOHAMMAD BAQER ZOLQADR,❌,❌,❌,✅,✅,❌,O
MOHAMMAD ESLAMI,✅,❌,❌,❌,❌,❌,O
MOHAMMAD HEJAZI,✅,❌,❌,❌,❌,❌,O
MOHAMMAD MEHDI NEJAD NOURI,✅,❌,❌,❌,❌,❌,O
MOHAMMAD REZA NAQDI,✅,❌,❌,❌,❌,❌,O
MOHAMMAD REZA ZAHEDI,✅,❌,❌,❌,❌,❌,O
MOHSEN FAKHRIZADEH-MAHABADI,❌,❌,❌,❌,❌,✅,O
MOHSEN HOJATI,✅,❌,❌,❌,❌,❌,O
MORTEZA REZAIE,✅,❌,❌,❌,❌,❌,O
MORTEZA SAFARI,✅,❌,❌,❌,❌,❌,O
NASER MALEKI,❌,❌,❌,❌,✅,✅,O
NIRU BATTERY MANUFACTURING COMPANY,✅,✅,❌,✅,❌,❌,O
OMRAN SAHEL,✅,❌,❌,❌,❌,❌,O
ORIENTAL OIL KISH,✅,❌,❌,❌,❌,❌,O
PARCHIN CHEMICAL INDUSTRIES,❌,❌,❌,❌,✅,❌,O
PARS AVIATION SERVICES COMPANY,✅,❌,❌,❌,❌,❌,O
PEJMAN INDUSTRIAL SERVICES CORPORATION,✅,❌,❌,❌,❌,❌,O
QASEM SOLEIMANI,✅,❌,❌,❌,❌,❌,O
QODS AERONAUTICS INDUSTRIES,✅,❌,❌,❌,❌,❌,O
RAH SAHEL,✅,❌,❌,❌,❌,❌,O
RAHAB ENGINEERING INSTITUTE,✅,❌,❌,❌,✅,❌,O
REZA-GHOLI ESMAELI,✅,✅,❌,❌,❌,❌,O
SABALAN COMPANY,❌,❌,❌,❌,✅,❌,O
SAD IMPORT EXPORT COMPANY,✅,❌,❌,❌,❌,❌,O
SAFETY EQUIPMENT PROCUREMENT (SEP),❌,❌,❌,❌,❌,✅,O
SAHAND ALUMINUM PARTS INDUSTRIAL COMPANY (SAPICO),✅,❌,❌,❌,❌,❌,O
SAHEL CONSULTANT ENGINEERS,❌,❌,❌,✅,❌,❌,O
SANAM INDUSTRIAL GROUP,✅,❌,❌,❌,❌,❌,O
SEPANIR,✅,❌,❌,❌,❌,❌,O
SEPASAD ENGINEERING COMPANY,✅,❌,❌,❌,❌,❌,O
SHAHID BAGHERI INDUSTRIAL GROUP (SBIG),✅,❌,❌,❌,❌,❌,O
SHAHID HEMMAT INDUSTRIAL GROUP (SHIG),❌,❌,❌,❌,✅,❌,O
SHAHID KARRAZI INDUSTRIES,❌,❌,❌,✅,✅,❌,O
SHAHID SATTARI INDUSTRIES,✅,❌,❌,❌,❌,❌,O
SHAHID SAYYADE SHIRAZI INDUSTRIES (SSSI),✅,❌,❌,❌,❌,❌,O
SHO'A' AVIATION,✅,❌,❌,❌,❌,❌,O
SPECIAL INDUSTRIES GROUP (SIG),✅,❌,❌,❌,❌,❌,O
TIZ PARS,✅,❌,❌,❌,❌,❌,O
YA MAHDI INDUSTRIES GROUP,✅,❌,❌,❌,❌,❌,O
YAHYA RAHIM SAFAVI,✅,❌,❌,❌,❌,❌,O
YAS AIR,✅,❌,❌,❌,❌,❌,O
YAZD METALLURGY INDUSTRIES (YMI),✅,❌,❌,❌,❌,❌,O
ABD-AL-TAWWAB MULLAH HUWAYSH,✅,❌,❌,❌,❌,❌,O
ABID HAMID MAHMUD AL-TIKRITI,✅,❌,❌,❌,❌,❌,O
ADIB SHABAN AL-ANI,✅,❌,❌,❌,❌,❌,O
ADIL ABDALLAH MAHDI,✅,❌,❌,❌,❌,❌,O
ADNAN S. HASAN AHMED,✅,❌,❌,❌,❌,❌,O
AL WASEL AND BABEL GENERAL TRADING LLC,✅,❌,❌,❌,❌,❌,O
"AL-BASHAIR TRADING COMPANY, LTD",✅,❌,❌,❌,❌,❌,O
ALFA COMPANY LIMITED FOR INTERNATIONAL TRADING AND MARKETING,✅,❌,❌,❌,❌,❌,O
ALI BARZAN IBRAHIM HASAN AL-TIKRITI,✅,❌,❌,❌,❌,❌,O
ALI HASSAN AL-MAJID AL-TIKRITI,✅,❌,❌,❌,❌,❌,O
ALI SADDAM HUSSEIN AL-TIKRITI,✅,❌,❌,❌,❌,❌,O
AMIR HAMUDI HASSAN AL-SA'DI,✅,❌,❌,❌,❌,❌,O
ASIL SAMI MOHAMMAD MADHI TABRAH,❌,❌,❌,✅,✅,❌,O
AVIATRANS ANSTALT,❌,✅,❌,❌,❌,❌,O
AYAD FUTAYYIH KHALIFA AL-RAWI,❌,❌,❌,✅,❌,❌,O
AYMAN SABAWI IBRAHIM HASAN AL-TIKRITI,❌,❌,❌,✅,❌,❌,O
Al-ARABI TRADING COMPANY,❌,❌,❌,✅,✅,❌,O
BARZAN ABD AL-GHAFUR SULAIMAN MAJID AL-TIKRITI,✅,❌,❌,❌,✅,❌,O
BARZAN IBRAHIM HASSAN AL-TIKRITI,✅,❌,❌,❌,❌,❌,O
BASHAR SABAWI IBRAHIM HASAN AL-TIKRITI,✅,❌,❌,❌,❌,❌,O
FADIL MAHMUD GHARIB,✅,❌,❌,❌,❌,❌,O
GHAZI HAMMUD AL-UBAIDI,❌,❌,❌,✅,✅,❌,O
HALA SADDAM HUSSEIN AL-TIKRITI,✅,❌,❌,❌,❌,❌,O
HAMID RAJA SHALAH AL-TIKRITI,❌,❌,❌,✅,✅,❌,O
HANI ABD-AL-LATIF TILFAH AL-TIKRITI,✅,❌,❌,✅,✅,❌,O
HIKMAT MIZBAN IBRAHIM AL-AZZAWI,❌,❌,❌,✅,❌,❌,O
HUDA SALIH MAHDI AMMASH,❌,❌,❌,✅,❌,❌,O
HUMAM ABD-AL-KHALIQ ABD-AL-GHAFUR,❌,❌,❌,✅,❌,❌,O
IBRAHIM AHMAD ABD AL-SATTAR MUHAMMED AL-TIKRITI,❌,❌,❌,✅,❌,❌,O
IBRAHIM SABAWI IBRAHIM HASAN AL-TIKRITI,❌,❌,❌,✅,❌,❌,O
IDLEB COMPANY FOR SPINNING,❌,❌,❌,✅,❌,❌,O
INTISSAR AL-UBAYDI,❌,❌,❌,✅,❌,❌,O
IZZAT IBRAHIM AL-DURI,❌,❌,❌,✅,❌,❌,O
JAMAL MUSTAFA ABDALLAH SULTAN AL-TIKRITI,❌,❌,❌,✅,❌,❌,O
JAWHAR MAJID AL-DURI,✅,❌,❌,❌,❌,❌,O
KHALAF M. M. AL-DULAYMI,❌,❌,❌,❌,✅,✅,O
KHAMIS SIRHAN AL-MUHAMMAD,❌,✅,❌,❌,✅,❌,O
KHAWLA BARZAN IBRAHIM HASAN AL-TIKRITI,❌,❌,❌,✅,❌,❌,O
LOGARCHEO S.A.,✅,❌,❌,❌,❌,❌,O
MAKI MUSTAFA HAMUDAT,❌,❌,❌,✅,❌,❌,O
"MIDCO FINANCIAL, S.A.",✅,❌,❌,✅,❌,❌,O
MIZBAN KHADR HADI,✅,❌,❌,❌,❌,❌,O
MOHAMMAD BARZAN IBRAHIM HASAN AL-TIKRITI,✅,❌,❌,❌,✅,❌,O
"MONTANA MANAGEMENT, INC.",✅,❌,❌,❌,❌,❌,O
MUHAMMAD HAMZA ZUBAIDI,✅,❌,❌,❌,❌,❌,O
MUHAMMAD YUNIS AHMAD,✅,❌,❌,❌,❌,❌,O
MUHSIN KHADR AL-KHAFAJI,✅,❌,❌,❌,❌,❌,O
MUNIR AL QUBAYSI,❌,❌,❌,✅,❌,❌,O
MUZAHIM SA'B HASSAN AL-TIKRITI,✅,❌,❌,❌,❌,❌,O
NAYIF SHINDAKH THAMIR GHALIB,❌,❌,❌,✅,❌,❌,O
NIDAL AL-RABI'I,✅,❌,❌,❌,❌,❌,O
NOOR BARZAN IBRAHIM HASAN AL-TIKRITI,✅,❌,❌,❌,❌,❌,O
OMAR SABAWI IBRAHIM HASAN AL-TIKRITI,✅,❌,❌,❌,❌,❌,O
QUSAY SADDAM HUSSEIN AL-TIKRITI,❌,✅,✅,✅,✅,✅,O
RAFI ABD-AL-LATIF TILFAH AL-TIKRITI,✅,❌,❌,❌,❌,❌,O
RAGHAD SADDAM HUSSEIN AL-TIKRITI,✅,❌,❌,❌,❌,❌,O
RANA SADDAM HUSSEIN AL-TIKRITI,✅,✅,❌,❌,❌,❌,O
RASHEED BANK,❌,❌,❌,❌,✅,❌,O
ROODI SLEWA,❌,❌,❌,✅,❌,✅,O
RUKAN RAZUKI ABD-AL-GHAFUR SULAIMAN AL-TIKRITI,✅,❌,❌,❌,❌,❌,O
Rashid Taan Kathim,❌,✅,❌,❌,❌,❌,O
SA'D ABD-AL-MAJID AL-FAISAL AL-TIKRITI,✅,❌,❌,❌,❌,❌,O
SAB'AWI IBRAHIM HASSAN AL-TIKRITI,✅,❌,❌,❌,❌,❌,O
SADDAM HUSSEIN AL-TIKRITI,✅,❌,❌,❌,❌,❌,O
SAHIR BERHAN,✅,❌,❌,❌,❌,❌,O
SAIF-AL-DIN AL-MASHHADANI,✅,❌,❌,❌,❌,❌,O
SAIF-AL-DIN FULAYYIH HASSAN TAHA AL-RAWI,✅,❌,❌,❌,❌,❌,O
SAJA BARZAN IBRAHIM HASAN AL-TIKRITI,✅,❌,❌,❌,❌,❌,O
SAJIDA KHAYRALLAH TILFAH,✅,❌,❌,❌,❌,❌,O
SAMIRA SHAHBANDAR,✅,❌,❌,❌,❌,❌,O
SA’D SABAWI IBRAHIM HASAN AL-TIKRITI,✅,❌,❌,❌,❌,❌,O
SULTAN HASHIM AHMAD AL-TA'I,✅,❌,❌,❌,❌,❌,O
Sundus Abd Al-Ghafur,✅,❌,❌,❌,❌,❌,O
T.M.G. ENGINEERING LIMITED,✅,❌,❌,❌,❌,❌,O
TAHA MUHYI-AL-DIN MA'RUF,✅,❌,❌,❌,❌,❌,O
TAHA YASSIN RAMADAN AL-JIZRAWI,✅,❌,❌,❌,❌,❌,O
TAHIR JALIL HABBUSH AL-TIKRITI,❌,❌,❌,✅,❌,❌,O
TARIQ AZIZ,✅,❌,❌,❌,❌,❌,O
TECHNOLOGY AND DEVELOPMENT GROUP LIMITED,✅,❌,❌,❌,❌,❌,O
THORAYA BARZAN IBRAHIM HASAN AL-TIKRITI,❌,✅,❌,❌,✅,❌,O
"TRADING AND TRANSPORT SERVICES COMPANY, LTD",✅,❌,❌,❌,❌,❌,O
UDAY SADDAM HUSSEIN AL-TIKRITI,✅,❌,❌,❌,❌,❌,O
UGLA ABID SAKR AL-ZUBAISI,✅,❌,❌,❌,❌,❌,O
WALID HAMID TAWFIQ AL-TIKRITI,❌,❌,❌,❌,✅,❌,O
WATBAN IBRAHIM HASSAN AL-TIKRITI,✅,❌,❌,❌,❌,❌,O
YAHIA ABDALLAH AL-UBAIDI,✅,❌,❌,❌,❌,❌,O
YASIR SABAWI IBRAHIM HASAN AL-TIKRITI,✅,❌,❌,✅,❌,❌,O
ABDELHAFIZ ZLITNI,✅,❌,❌,❌,❌,❌,O
ABDULLAH AL-SENUSSI,✅,❌,❌,❌,❌,❌,O
ABDULQADER MOHAMMED AL-BAGHDADI,❌,❌,❌,✅,❌,❌,O
ABDULQADER YUSEF DIBRI,❌,✅,❌,✅,❌,❌,O
ABU BAKR YUNIS JABIR,❌,❌,❌,✅,❌,❌,O
ABU ZAYD UMAR DORDA,❌,❌,❌,✅,❌,❌,O
AISHA MUAMMAR MUHAMMED ABU MINYAR QADHAFI,✅,❌,❌,❌,❌,❌,O
AMID HUSAIN AL KUNI,✅,❌,❌,❌,❌,❌,O
Abd Al-Rahman al-Milad,❌,✅,✅,✅,✅,✅,O
Ahmad Oumar Imhamad al-Fitouri,✅,❌,❌,❌,❌,❌,O
Ermias Alem,✅,❌,❌,❌,❌,❌,O
Fitiwi Abdelrazak,✅,❌,❌,❌,❌,❌,O
HANNIBAL MUAMMAR QADHAFI,✅,❌,❌,❌,❌,❌,O
Ibrahim Saeed Salim Jadhran,✅,❌,❌,❌,❌,❌,O
KHAMIS MUAMMAR QADHAFI,✅,❌,❌,❌,❌,❌,O
LIBYAN AFRICA INVESTMENT PORTFOLIO,❌,❌,❌,✅,✅,❌,O
LIBYAN INVESTMENT AUTHORITY,✅,❌,❌,❌,❌,❌,O
MATUQ MOHAMMED MATUQ,✅,❌,❌,❌,❌,❌,O
MOHAMMED MUAMMAR QADHAFI,✅,❌,❌,❌,❌,❌,O
MUAMMAR MOHAMMED ABU MINYAR QADHAFI,✅,❌,❌,❌,❌,❌,O
MUTASSIM QADHAFI,✅,❌,❌,❌,❌,❌,O
Mohammed Al Amin Al-Arabi Kashlaf,❌,❌,❌,❌,✅,❌,O
Mus’ab Mustafa Abu al Qassim Omar,✅,❌,❌,❌,❌,❌,O
Osama Al Kuni Ibrahim,❌,❌,❌,✅,✅,❌,O
QUREN SALIH QUREN AL QADHAFI,✅,❌,❌,❌,❌,❌,O
SAADI QADHAFI,✅,✅,❌,✅,✅,✅,O
SAFIA FARKASH AL-BARASSI,✅,❌,❌,❌,❌,❌,O
SAIF AL-ARAB QADHAFI,✅,❌,❌,❌,❌,❌,O
SAIF AL-ISLAM QADHAFI,✅,❌,❌,❌,❌,❌,O
SAYYID MOHAMMED QADHAF AL-DAM,✅,❌,❌,❌,❌,❌,O
Salah Badi,✅,❌,❌,❌,❌,❌,O
AHMED AG ALBACHAR,❌,✅,❌,❌,✅,❌,O
Ahmoudou Ag Asriw,✅,❌,❌,❌,❌,❌,O
HOUKA HOUKA AG ALHOUSSEINI,✅,❌,❌,❌,❌,❌,O
MAHRI SIDI AMAR BEN DAHA,❌,❌,❌,✅,❌,❌,O
MOHAMED BEN AHMED MAHRI,✅,❌,❌,❌,❌,❌,O
MOHAMED OULD MATALY,✅,❌,❌,❌,❌,❌,O
Mahamadou Ag Rhissa,✅,❌,❌,❌,❌,❌,O
Mohamed Ousmane Ag Mohamedoune,❌,❌,❌,✅,❌,❌,O
ABOUD ROGO MOHAMMED,✅,❌,❌,❌,❌,❌,O
ABUBAKER SHARIFF AHMED,✅,❌,❌,❌,❌,❌,O
ABUKAR ALI ADAN,✅,❌,❌,❌,❌,❌,O
AHMED ABDI AW-MOHAMED,✅,✅,✅,✅,✅,❌,O
AHMED DIRIYE,✅,❌,❌,❌,❌,❌,O
AL-SHABAAB,❌,❌,❌,✅,❌,❌,O
ALI MOHAMED RAGE,✅,❌,❌,❌,❌,❌,O
Abdifatah Abubakar Abdi,✅,❌,❌,❌,❌,❌,O
Ahmad Iman Ali,✅,❌,❌,❌,❌,❌,O
BASHIR MOHAMED MAHAMOUD,✅,❌,❌,❌,❌,❌,O
FARES MOHAMMED MANA'A,✅,❌,❌,❌,❌,❌,O
FUAD MOHAMED KHALAF,✅,❌,❌,❌,❌,❌,O
HASSAN ABDULLAH HERSI AL-TURKI,✅,❌,❌,❌,❌,❌,O
HASSAN DAHIR AWEYS,✅,❌,❌,❌,❌,❌,O
HASSAN MAHAT OMAR,✅,❌,❌,❌,❌,❌,O
MAALIM AYMAN,✅,❌,❌,❌,❌,❌,O
MAALIM SALMAN,✅,❌,❌,❌,❌,❌,O
MAHAD KARATE,✅,❌,❌,❌,❌,❌,O
OMAR HAMMAMI,✅,❌,❌,❌,❌,❌,O
Yasin Ali Baynah,✅,❌,❌,❌,❌,❌,O
GABRIEL JOK RIAK MAKOL,✅,❌,❌,❌,❌,❌,O
JAMES KOANG CHUOL,✅,❌,❌,❌,❌,❌,O
MALEK REUBEN RIAK RENGU,✅,❌,❌,❌,❌,❌,O
MARIAL CHANUONG YOL MANGOK,✅,❌,❌,❌,❌,❌,O
PAUL MALONG AWAN ANEI,✅,❌,❌,❌,❌,❌,O
PETER GADET,✅,❌,❌,❌,❌,❌,O
SANTINO DENG WOL,✅,❌,❌,❌,❌,❌,O
SIMON GATWECH DUAL,✅,❌,❌,❌,❌,❌,O
GAFFAR MOHAMMED ELHASSAN,✅,❌,❌,❌,❌,❌,O
JIBRIL ABDULKARIM IBRAHIM MAYU,✅,❌,❌,❌,❌,❌,O
MUSA HILAL ABDALLA ALNSIEM,✅,❌,❌,❌,✅,✅,O
ABDUL AZIZ ABBASIN,✅,❌,❌,❌,❌,❌,O
ABDUL BAQI BASIR AWAL SHAH,❌,❌,❌,✅,❌,❌,O
ABDUL BARI AKHUND,✅,❌,❌,❌,❌,❌,O
ABDUL BASIR NOORZAI,❌,❌,❌,❌,❌,✅,O
ABDUL GHAFAR QURISHI ABDUL GHANI,❌,✅,✅,❌,✅,✅,O
ABDUL GHAFAR SHINWARI,✅,❌,❌,❌,❌,❌,O
ABDUL GHANI BARADAR ABDUL AHMAD TURK,✅,❌,❌,❌,❌,❌,O
ABDUL HABIB ALIZAI,✅,❌,❌,❌,❌,❌,O
ABDUL HAI HAZEM ABDUL QADER,✅,❌,❌,❌,❌,❌,O
ABDUL JABBAR OMARI,✅,❌,❌,❌,❌,❌,O
ABDUL JALIL HAQQANI WALI MOHAMMAD,✅,❌,❌,❌,❌,❌,O
ABDUL KABIR MOHAMMAD JAN,❌,❌,❌,✅,❌,❌,O
ABDUL LATIF MANSUR,✅,❌,❌,❌,✅,✅,O
ABDUL MANAN MOHAMMAD ISHAK,✅,❌,❌,❌,✅,✅,O
ABDUL MANAN NYAZI,✅,❌,❌,❌,❌,❌,O
ABDUL QADEER BASIR ABDUL BASEER,✅,❌,❌,❌,❌,❌,O
ABDUL QUDDUS MAZHARI,❌,❌,❌,✅,❌,❌,O
ABDUL RAHMAN AGHA,✅,❌,❌,❌,❌,❌,O
ABDUL RAHMAN AHMAD HOTTAK,✅,❌,❌,❌,❌,❌,O
ABDUL RAHMAN ZAHED,✅,❌,❌,❌,❌,❌,O
ABDUL RAQIB TAKHARI,✅,❌,❌,❌,❌,❌,O
ABDUL RAUF KHADEM,✅,❌,❌,❌,❌,❌,O
ABDUL RAUF ZAKIR,✅,❌,❌,❌,❌,❌,O
ABDUL RAZAQ AKHUND LALA AKHUND,✅,❌,❌,❌,✅,❌,O
ABDUL SALAM HANAFI ALI MARDAN QUL,✅,✅,❌,✅,✅,✅,O
ABDUL SAMAD ACHEKZAI,✅,✅,✅,✅,❌,✅,O
ABDUL SATAR ABDUL MANAN,✅,❌,❌,❌,❌,❌,O
ABDUL WAHED SHAFIQ,✅,❌,❌,❌,❌,❌,O
ABDUL WALI SEDDIQI,✅,❌,❌,❌,❌,❌,O
ABDUL-HAQ WASSIQ,✅,❌,❌,❌,❌,❌,O
ABDULHAI MOTMAEN,✅,❌,❌,❌,❌,❌,O
ABDULHAI SALEK,✅,❌,❌,❌,❌,❌,O
ABDULLAH HAMAD MOHAMMAD KARIM,✅,❌,❌,❌,❌,❌,O
ADAM KHAN ACHEKZAI,❌,✅,❌,❌,❌,✅,O
AHMAD JAN AKHUNDZADA SHUKOOR AKHUNDZADA,✅,❌,❌,❌,❌,❌,O
AHMAD TAHA KHALID ABDUL QADIR,❌,❌,❌,❌,✅,❌,O
AHMAD ZIA AGHA,✅,❌,❌,❌,❌,❌,O
AHMED JAN AKHUNDZADA WAZIR,✅,❌,❌,❌,❌,❌,O
AHMED JAN WAZIR AKHTAR MOHAMMAD,✅,❌,❌,❌,❌,❌,O
AHMED SHAH NOORZAI OBAIDULLAH,❌,✅,❌,❌,✅,✅,O
AKHTAR MOHAMMAD MANSOUR SHAH MOHAMMED,✅,❌,❌,❌,❌,❌,O
ALLAH DAD MATIN,✅,❌,❌,❌,❌,❌,O
ALLAH DAD TAYEB WALI MUHAMMAD,✅,❌,❌,❌,❌,❌,O
AMINULLAH AMIN QUDDUS,✅,❌,❌,❌,❌,❌,O
AMIR ABDULLAH,✅,❌,❌,❌,❌,❌,O
AMIR KHAN MOTAQI,✅,❌,❌,❌,❌,❌,O
AREFULLAH AREF GHAZI MOHAMMAD,✅,❌,❌,❌,❌,❌,O
ATIQULLAH WALI MOHAMMAD,✅,❌,❌,❌,❌,❌,O
ATTIQULLAH AKHUND,✅,❌,❌,❌,❌,❌,O
AZIZIRAHMAN ABDUL AHAD,✅,❌,❌,❌,❌,❌,O
BAKHT GUL,✅,❌,❌,❌,❌,❌,O
DIN MOHAMMAD HANIF,❌,❌,❌,✅,❌,❌,O
DOST MOHAMMAD,✅,❌,❌,❌,✅,✅,O
