Sanctioned Entity/Individual,US,UK,EU,Switzerland,Canada,Australia,Japan,Type,Sanctions Lists,Notes,
Sergey Alekseevich Shcherbakov,❌,✅,✅,✅,✅,✅,❌,Individual,,,
Sergey Alekseyevich Veremeenko,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Sergey Alexandrovich Kovalchuk,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Sergey Alexandrovich Kulikov,❌,✅,✅,✅,✅,✅,❌,Individual,,,
Sergey Alexandrovich Martynov,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Sergey Alexandrovich Pahomov,✅,❌,✅,✅,✅,✅,❌,Individual,,,
Sergey Alexandrovich Pakhomov,❌,✅,❌,❌,❌,❌,✅,Individual,,,
Sergey Anatolevich Serdyukov,✅,❌,❌,❌,✅,❌,❌,Individual,,,
Sergey Anatolevich Solovev,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Sergey Anatolevich Topor-Gilka,✅,✅,✅,✅,❌,❌,❌,Individual,,,
Sergey Anatolievich Chuchin,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Sergey Anatolievich Rura,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Sergey Anatolyevich Gavrilov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Sergey Anatolyevich Kogogin,✅,✅,❌,❌,✅,✅,❌,Individual,,,
Sergey Anatolyevich Tsyb,✅,❌,❌,❌,❌,✅,❌,Individual,,,
Sergey Borisovich Brilev,❌,✅,❌,❌,❌,✅,❌,Individual,,,
Sergey Borisovich Ivanov,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Sergey Borisovich Prokopenko,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Sergey Borisovich Ryzhkov,❌,✅,✅,✅,❌,✅,❌,Individual,,,
Sergey Dmitriyevich Leonov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Sergey Evgenievich Tsivilev,❌,✅,✅,✅,❌,❌,❌,Individual,,,
Sergey Gennadevich Makeev,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Sergey Gennadevich Tsipkalov,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Sergey Gennadevich Tsyplakov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Sergey Gennadiyevich Zyryanov,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Sergey Genrikhovich Karginov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Sergey Georgievich Rusanov,✅,✅,❌,❌,❌,❌,❌,Individual,,,
Sergey Georgiyevich Levchenko,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Sergey Ionov,❌,❌,❌,✅,❌,❌,❌,Individual,,,
Sergey Ivanovich Kazankov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Sergey Ivanovich Kozlov,❌,❌,✅,✅,✅,✅,✅,Individual,,,
Sergey Ivanovich Morozov,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Sergey Konstantinovich Sverchkov,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Sergey Leonidovich Kossiev,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Sergey Leonidovich Telnykh,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Sergey Litvin,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Sergey Makarovich Nazarov,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Sergey Mikhaylovich Boyarskiy,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Sergey Mikhaylovich Panteleyev,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Sergey Mikhaylovich Sokol,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Sergey Nikolaevich Bondarovich,✅,✅,❌,❌,❌,❌,❌,Individual,,,
Sergey Nikolaevich Borisenko,❌,❌,✅,✅,✅,❌,❌,Individual,,,
Sergey Nikolaevich Gorkov,✅,❌,❌,❌,❌,✅,❌,Individual,,,
Sergey Nikolaevich Neverov,❌,✅,✅,✅,✅,❌,❌,Individual,,,
Sergey Nikolaevich Rozhkov,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Sergey Nikolayevich Grinyuk,❌,✅,✅,✅,❌,✅,❌,Individual,,,
Sergey Nikolayevich Kolbin,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Sergey Nikolayevich Kotkin,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Sergey Nikolayevich Muratov,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Sergey Nikolayevich Perminov,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Sergey Nikolayevich Ryabukhin,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Sergey Nikolayevich Shakhov,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Sergey Nikolayevich Stankevich,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Sergey Pavlovich Ivanov,❌,✅,✅,❌,✅,❌,❌,Individual,,,
Sergey Pavlovich Obukhov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Sergey Pavlovych Tsekov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Sergey Semyonovich Sobyanin,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Sergey Sergeevich Chemezov,✅,✅,❌,❌,✅,✅,✅,Individual,,,
Sergey Sergeevich Zavdoveev,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Sergey Sergeevich Zorin,❌,❌,✅,✅,✅,❌,❌,Individual,,,
Sergey Stognienko,❌,✅,❌,❌,❌,❌,❌,Individual,,,
Sergey Vadimovich Abisov,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Sergey Valeriyevich Petrov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Sergey Valeryevich Aksyonov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Sergey Vasilyevich Karpov,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Sergey Vasilyevich Yakhnyuk,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Sergey Viktorovich Altukhov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Sergey Viktorovich Chemezov,✅,✅,✅,✅,❌,✅,✅,Individual,,,
Sergey Viktorovich Chizhov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Sergey Viktorovich Kalashnik,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Sergey Viktorovich Lugansky,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Sergey Viktorovich Mosalev,❌,❌,✅,✅,✅,❌,❌,Individual,,,
Sergey Viktorovich Pitikov,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Sergey Viktorovich Rudenko,❌,❌,✅,✅,✅,❌,❌,Individual,,,
Sergey Vitalievich Kurchenko,✅,✅,✅,✅,❌,❌,❌,Individual,,,
Sergey Vitalyevich Bezrukov,❌,❌,✅,✅,❌,❌,❌,Individual,,,
Sergey Vladimirovich Beryozkin,❌,✅,✅,❌,❌,❌,❌,Individual,,,
Sergey Vladimirovich Burlakov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Sergey Vladimirovich Dronov,❌,✅,✅,✅,✅,✅,✅,Individual,,,
Sergey Vladimirovich Eliseev,❌,❌,✅,✅,❌,❌,❌,Individual,,,
Sergey Vladimirovich Kabyshev,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Sergey Vladimirovich Khotimskiy,✅,✅,❌,❌,❌,❌,❌,Individual,,,
Sergey Vladimirovich Kolunov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Sergey Vladimirovich Krivonosov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Sergey Vladimirovich Mikhailov,❌,✅,❌,✅,✅,❌,❌,Individual,,,
Sergey Vladimirovich Savostyanov,❌,✅,✅,❌,❌,❌,❌,Individual,,,
Sergey Vladimirovich Shcherbakov,❌,❌,✅,✅,❌,❌,❌,Individual,,,
Sergey Vladimirovich Yeliseyev,✅,✅,❌,❌,✅,✅,❌,Individual,,,
Sergey Vyacheslavovich Byzov,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Sergey Yurevich Ignatov,❌,✅,✅,❌,✅,✅,❌,Individual,,,
Sergey Yurevich Kuzovlev,❌,❌,❌,✅,❌,✅,❌,Individual,,,
Sergey Yurievich Glazyev,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Sergey Yurievich Kozyakov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Sergey Yurievich Kulakov,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Sergey Yuryevich Bidonko,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Sergey Yuryevich Ten,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Sergey Zdorryuk,❌,❌,❌,❌,❌,❌,✅,Individual,,,
Sergievo-Posad Lend Ooo,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Serguey Achotovich Mndoiants,❌,✅,✅,✅,❌,❌,❌,Entity,,,
Serhat Gencoglu,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Serhii Anatoliyovych Zdriliuk,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Serhiy Arbuzov,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Serhiy Melnychuk,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Serhiy Mikolayovich Cherevko,✅,✅,✅,✅,✅,✅,❌,Individual,,,
"Sernia-film Co, Ltd",✅,❌,❌,❌,❌,❌,❌,Entity,,,
Set Petrochemicals Oy,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Setelem Bank Limited Liability Company,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Setelem Bank Limited Liability Company,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Sevastopol Commercial Seaport,✅,✅,✅,✅,✅,✅,❌,Entity,,,
Severgroup Limited Liability Company,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Severnaya Verf Shipbuilding Factory,❌,❌,❌,✅,❌,❌,❌,Entity,,,
Severniy Proect,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Severnoe Design Bureau Joint Stock Company,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Seyyed Mehdi Hashemi Toghroljerdi,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Seyyed Mohammad Hosein Musa Kazemi,✅,❌,❌,❌,❌,❌,❌,Individual,,,
"Sg Msk, Ao",✅,❌,❌,❌,❌,❌,❌,Entity,,,
Sgm Most Ooo,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Shahed Aviation Industries Research Center/Centre,❌,❌,✅,❌,❌,❌,❌,Entity,,,
Shamsail Yunusovich Saraliyev,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Shangfu Li,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Sharip Sultanovich Delimkhanov,❌,❌,✅,✅,✅,❌,❌,Individual,,,
Shellest,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
"Shen Yang Jing Cheng Machinery Imp&Exp. Co., Limited",✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Shervud Premer, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
Shine Dragon Group Limited,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Ship Maintenance Center Zvezdochka,✅,❌,❌,✅,✅,❌,❌,Entity,,,
Shipyard Yantar,❌,❌,❌,✅,❌,❌,❌,Entity,,,
Sholban Valeryevich Kara-ool,✅,✅,✅,✅,❌,✅,✅,Individual,,,
Siberia,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Sig,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Simon Al Wakeel,❌,❌,✅,❌,❌,❌,❌,Individual,,,
Simon Al Wakil,❌,✅,✅,✅,❌,❌,❌,Individual,,,
"Sinno Electronics Co., Limited",✅,❌,❌,❌,❌,❌,❌,Entity,,,
Sivuch,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Siyanie Severa,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Skeptik Tov,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Skoda Js A.s.,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Skolkovo Foundation,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Skolkovo Institute of Science and Technology,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Sme Bank,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Smotrim,❌,❌,❌,❌,✅,❌,❌,Entity,,,
Smp  Novodvinsk,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Smp Arkhangelsk,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Smp Bank,✅,✅,❌,❌,✅,✅,❌,Entity,,,
Smp Severodvinsk,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Smt-k,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Sngb Ao,✅,❌,❌,❌,❌,❌,❌,Entity,,,
So Tvernefteprodukt Ooo,✅,❌,❌,❌,❌,❌,❌,Entity,,,
So-called  'Lugansk People's Republic',❌,✅,✅,✅,❌,❌,✅,Entity,,,
Societatea Cu Raspundere Limitata Project Invest Company,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Solid Ltd,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Sollers-finance Limited Liability Company,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Somali battalion,❌,✅,✅,✅,✅,✅,❌,Entity,,,
Sona,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Southeast Trading Oy,✅,❌,❌,❌,❌,❌,❌,Entity,,,
SouthFront,❌,✅,❌,❌,❌,✅,❌,Entity,,,
Southport Management Services Limited,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Sova Nedvizhimost Ooo,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Sovcombank Asset Management Limited Liability Company,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Sovcombank Factoring Limited Liability Company,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Sovcombank Open Joint Stock Company,✅,❌,❌,❌,❌,❌,✅,Entity,,,
Sovcombank Securities Limited,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Sovcombank Technologies Limited Liability Company,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Sovcomcard Limited Liability Company,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Sovfracht Managing Company Llc,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Sovfracht-sovmortrans Group,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Sovkhoz Chervishevski Pao,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Sovkom Faktoring,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Sovkom Lizing,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Sovremennye Tekhnologii Limited Liability Company,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Sparta,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Sparta Battalion,❌,✅,✅,✅,✅,✅,❌,Entity,,,
Sparta II,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Sparta III,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Sparta IV,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Spasatel Karev,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Special    Technology Centre Llc,❌,❌,❌,✅,✅,❌,❌,Entity,,,
Special Design And Technical Bureau For Relay Technology,✅,❌,❌,❌,✅,❌,❌,Entity,,,
Specialized Engineering and Design Bureau of Electronic Systems Joint Stock Company,✅,❌,❌,❌,❌,❌,✅,Entity,,,
Spetsinvestservis Ooo,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Sportivno-Ozdorovitelnyi Tsentr Irkut-Zenit,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Sputnik,✅,❌,❌,❌,✅,❌,❌,Entity,,,
Srl Skyline Aviation,✅,❌,❌,❌,❌,❌,❌,Entity,,,
St. Vitamin,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Stalingrad,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Stanislav Aleksandrovich Naumov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Stanislav Evgenievich Gordievsky,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Stanislav Igorevich Makarov,❌,❌,✅,✅,✅,❌,❌,Individual,,,
Stanislav Konstantinovich Kuznetsov,✅,✅,❌,❌,✅,✅,❌,Individual,,,
Stanislav Sergeyevich Chemezov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Stanislav Valerevich Shaposhnikov,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Stanislav Yuriyevich Belykh,❌,❌,❌,❌,✅,❌,❌,Individual,,,
State Authority For Military Industry Of The Republic Of Belarus,❌,✅,❌,❌,❌,✅,❌,Entity,,,
State Bank Luhansk People's Republic,✅,❌,❌,❌,❌,❌,❌,Entity,,,
State Corporation Rostec,✅,❌,❌,❌,❌,❌,❌,Entity,,,
State Duma of the Federal Assembly of the Russian Federation,✅,❌,❌,❌,❌,❌,❌,Entity,,,
State enterprise “Universal-Avia”,✅,✅,✅,✅,✅,✅,❌,Entity,,,
State Enterprise Evpatoria Sea Commercial Port,✅,❌,❌,❌,✅,❌,❌,Entity,,,
State Enterprise Factory of Sparkling Wine Novy Svet,✅,✅,✅,✅,✅,✅,❌,Entity,,,
State Enterprise Feodosia Sea Trading Port,✅,❌,❌,❌,✅,❌,❌,Entity,,,
State Enterprise Kerch Sea Commercial Port,✅,❌,❌,❌,❌,❌,❌,Entity,,,
State Enterprise Yalta Sea Trading Port,✅,❌,❌,❌,✅,❌,❌,Entity,,,
State Flight Testing Center Named After V.P. Chkalov,✅,❌,❌,❌,❌,❌,❌,Entity,,,
State Governmental Scientific Testing Area of Aircraft Systems (GkNIPAS),❌,❌,❌,✅,❌,❌,❌,Entity,,,
State Institute for Experimental Military Medicine of the Ministry of Defense,✅,❌,❌,❌,❌,❌,❌,Entity,,,
State Research Institute of Aviation Systems State Research Center of the Russian Federation,✅,❌,❌,❌,❌,❌,❌,Entity,,,
State Scientific Center AO GNTs RF—FEI A.I. Leypunskiy Physico-Energy Institute,❌,❌,❌,✅,❌,❌,❌,Entity,,,
State Scientific Research Institute of Machine Building Bakhirev (GosNIImash),✅,❌,❌,✅,❌,❌,✅,Entity,,,
State Shipping Company Kerch Sea Ferry,✅,❌,❌,❌,❌,❌,❌,Entity,,,
State Unitary Enterprise of the Crimean Republic 'Crimean Sea Ports',❌,✅,❌,✅,❌,✅,❌,Entity,,,
Stepan Kirillovich Kovalchuk,✅,✅,❌,❌,✅,❌,✅,Individual,,,
Stepan Viktorovich Grigorov,❌,❌,✅,✅,✅,❌,❌,Individual,,,
"Stepnyanski Elevator, Oao",✅,❌,❌,❌,❌,❌,❌,Entity,,,
Stop-Imperialism Global Information Agency,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Strakhovove Obshchestvo Surgutneftegaz Ooo,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Strategic Culture Foundation,✅,✅,❌,❌,❌,✅,❌,Entity,,,
Stroygazmontazh,✅,✅,✅,✅,✅,✅,❌,Entity,,,
Stroygazmontazh Llc,❌,❌,❌,❌,✅,❌,❌,Entity,,,
Stroygazmontazh Most Ooo,❌,✅,✅,✅,✅,❌,❌,Entity,,,
Stroytransgaz Group,✅,❌,❌,❌,✅,✅,❌,Entity,,,
Stroytransgaz Holding,✅,❌,❌,❌,✅,❌,❌,Entity,,,
Stroytransgaz Llc,✅,❌,❌,❌,✅,❌,❌,Entity,,,
Stroytransgaz Ojsc,✅,❌,❌,❌,✅,❌,❌,Entity,,,
Stroytransgaz-m Llc,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Subsidiary Bank Sberbank Of Russia Joint Stock Company,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Sudak,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Sue Rc 'feodosia Optical Plant',✅,❌,❌,❌,❌,❌,❌,Entity,,,
Sukhoi Aviation Jsc,❌,❌,❌,✅,✅,❌,❌,Entity,,,
Sukhoi Civil Aircraft,❌,❌,❌,✅,✅,❌,❌,Entity,,,
Suleiman Sadulayevich Geremeyev,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Suleyman Abusaidovich Kerimov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Surgutmebel Ooo,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Sv Konstantin,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Sv Nikolay,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Sven Anders Olsson,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Svetlana Alekseevna Borodulina,✅,❌,❌,❌,✅,❌,❌,Individual,,,
Svetlana Anatolievna Kumanova,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Svetlana Anatolievna Malakhova,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Svetlana Borisovna Savchenko,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Svetlana Fiodorovna Gizay,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Svetlana Georgiyevna Zamlelova,✅,✅,❌,❌,❌,✅,❌,Individual,,,
Svetlana Nikolaevna Podlipaeva,❌,✅,✅,✅,✅,✅,✅,Individual,,,
Svetlana Petrovna Emelyanova,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Svetlana Petrovna Goryacheva,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Svetlana Petrovna Yemelyanova,❌,✅,❌,❌,❌,❌,❌,Individual,,,
Svetlana Sergeevna Zhurova,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Svetlana Ukhnalyova,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Svetlana Vadimovna Khvorostian,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Svetlana Viktorovna Bessarab,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Svetlana Viktorovna Razvorotneva,✅,✅,✅,✅,❌,✅,✅,Individual,,,
Svetlana Vladimirovna Medvedeva,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Svetlana Yanovna Alyoshina,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Svetlana Yevgenyevna Savitskaya,✅,✅,✅,✅,❌,✅,✅,Individual,,,
Sviaz-bank,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Svyatoslav Evgenievich Ostrovsky,✅,✅,❌,❌,✅,❌,❌,Individual,,,
"Svyaztransneft, Ao",✅,❌,❌,❌,❌,❌,❌,Entity,,,
T-platforms,✅,✅,❌,❌,❌,❌,❌,Entity,,,
T.G.A. D.O.O. za Trgovinu i Usluge,✅,❌,❌,❌,❌,❌,❌,Entity,,,
T7-oky,✅,❌,❌,❌,❌,❌,❌,Aircraft,,,
"Taatta, Ao",✅,❌,❌,❌,❌,❌,❌,Entity,,,
Tabarik Ramzanovna Kadyrova,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Taco Llc,✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Tactical Missile Company, Joint Stock Company ‘Salute’",❌,❌,❌,✅,✅,❌,❌,Entity,,,
"Tactical Missile Company, Joint Stock Company ‘Scientific Research Institute of Marine Heat Engineering’",❌,❌,❌,✅,❌,❌,❌,Entity,,,
"Tactical Missile Company, Joint Stock Company PA Strela",❌,❌,❌,✅,✅,❌,❌,Entity,,,
"Tactical Missile Company, Joint Stock Company Ravenstvo",❌,❌,❌,✅,✅,❌,❌,Entity,,,
"Tactical Missile Company, Joint Stock Company Saratov Radio Instrument Plant",❌,❌,❌,✅,✅,❌,❌,Entity,,,
"Tactical Missile Company, Joint Stock Company Severny Press",✅,❌,❌,✅,✅,❌,❌,Entity,,,
"Tactical Missile Company, Joint-Stock Company ‘Research Center for Automated Design’",❌,❌,❌,✅,✅,❌,❌,Entity,,,
"Tactical Missile Company, Kb Mashinostroeniya",❌,❌,❌,✅,✅,❌,❌,Entity,,,
"Tactical Missile Company, Npo Electromechanics",❌,❌,❌,✅,✅,❌,❌,Entity,,,
"Tactical Missile Company, Npo Lightning",❌,❌,❌,✅,✅,❌,❌,Entity,,,
"Tactical Missile Company, Pjsc Anpp Temp Avia",❌,❌,❌,✅,❌,❌,❌,Entity,,,
"Tactical Missile Company, Raduga Design Bureau",❌,❌,❌,✅,❌,❌,❌,Entity,,,
"Tactical Missile Corporation, Ao Tmkb ‘soyuz’",❌,❌,❌,✅,✅,❌,❌,Entity,,,
"Tactical Missile Corporation, Azov Optical and Mechanical Plant",❌,❌,❌,✅,✅,❌,✅,Entity,,,
"Tactical Missile Corporation, Concern ‘mpo – Gidropribor’",❌,❌,❌,✅,✅,❌,❌,Entity,,,
"Tactical Missile Corporation, Joint Stock Company ‘krasny Gidropress’",❌,❌,❌,✅,✅,❌,❌,Entity,,,
"Tactical Missile Corporation, Joint Stock Company Elektrotyaga",✅,❌,❌,✅,✅,❌,❌,Entity,,,
"Tactical Missile Corporation, Joint Stock Company GosNIIMash",❌,❌,❌,✅,✅,❌,❌,Entity,,,
"Tactical Missile Corporation, Trv Engineering",❌,❌,❌,✅,✅,❌,❌,Entity,,,
"Tactical Missile Corporation, Zvezda-Strela Limited Liability Company",❌,❌,❌,✅,✅,❌,❌,Entity,,,
Tactical Missiles Corporation,✅,✅,❌,✅,❌,✅,❌,Entity,,,
"Tactical Missiles Corporation, ‘Uralelement’ Jsc",❌,❌,❌,❌,✅,❌,❌,Entity,,,
"Tactical Missiles Corporation, Central Design Bureau of Automation",❌,❌,❌,❌,✅,❌,❌,Entity,,,
Taibola,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Taimuraz Dzhambekovich Mamsurov,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Taimyr,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Tamara Aleksandrovna Topchi,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Tamara Ivanovna Frolova,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Tambey,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Tambov Plant (TZ) ‘October’,❌,❌,❌,✅,✅,❌,❌,Entity,,,
Tamerlan Borisovich Enaldiev,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Tango,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Taras Kirillovich Pribyshin,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Taras Romanovych Kozak,✅,❌,❌,❌,✅,✅,❌,Individual,,,
Task Force Rusich,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Tass,❌,❌,❌,❌,✅,❌,❌,Entity,,,
Tatiana Aleksandrovna Navka,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Tatiana Anatolyevna Sakharova,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Tatiana Borisovna Kiryanova,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Tatiana Petrovna Larionova,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Tatiana V Chernykh,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Tatiana Vasilievna Solomatina,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Tatiana Viktorovna Butskaya,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Tatiana Viktorovna Shevtsova,❌,✅,❌,❌,✅,✅,❌,Individual,,,
Tatiana Vladimirovna Artyakova,✅,❌,❌,❌,✅,❌,❌,Individual,,,
Tatyana Adolfovna Dvoryadkina,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Tatyana Aleksandrovna Kovalchuk,✅,✅,❌,❌,✅,❌,✅,Individual,,,
Tatyana Alekseevna Kusaiko,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Tatyana Anatolyevna Gigel,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Tatyana Gennadevna Nesterenko,✅,✅,❌,❌,❌,❌,❌,Individual,,,
